"","id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","group"
"1",1419,"Beautiful home in amazing area!",1565,"Alexandra","Little Portugal",43.64617,-79.42451,1,469,4,7,803,0.13,1,0,1
"2",8077,"Downtown Harbourfront Private Room",22795,"Kathie & Larry","Waterfront Communities-The Island",43.64105,-79.37628,3,99,180,169,2363,1.32,2,0,1
"3",23691,"Queen Bedroom close to downtown",93825,"Yohan & Sarah","Briar Hill-Belgravia",43.69602,-79.45468,3,72,1,217,55,1.84,2,0,3
"4",26654,"World Class downtown @CN Tower Theatre MTCC games!",113345,"Adela","Waterfront Communities-The Island",43.6453,-79.3894,1,199,4,39,40,0.35,5,365,2
"5",27423,"Executive Studio Unit- Ideal for One Person",118124,"Brent","Greenwood-Coxwell",43.6689,-79.32592,1,54,120,26,3091,0.22,1,0,1
"6",30931,"Downtown Toronto - Waterview Condo",22795,"Kathie & Larry","Waterfront Communities-The Island",43.64151,-79.37643,1,133,180,1,3475,0.01,2,365,1
"7",40456,"Downtown 2  Bdr.Apt with King Size Bed and Parking",174063,"Denis","South Parkdale",43.63532,-79.44049,1,99,30,109,99,0.94,5,250,2
"8",41887,"Great location",183071,"Kyle","Oakridge",43.69466,-79.28667,1,69,2,82,166,2.09,2,270,4
"9",43964,"Bright entire 2-bedrm basement suite private entry",192364,"Mitra","Wexford/Maryvale",43.74948,-79.29147,1,90,2,30,194,0.79,1,365,4
"10",44452,"Yonge & Bloor Studio Skyline",195095,"Urbano","Rosedale-Moore Park",43.67185,-79.38583,1,121,1,50,53,0.44,13,363,2
"11",45399,"Fountain View Studio - Eaton center",195095,"Urbano","Church-Yonge Corridor",43.65972,-79.38172,1,121,1,78,100,0.69,13,363,2
"12",45893,"Yonge & Bloor Lakeview Master BR  ",195095,"Urbano","Rosedale-Moore Park",43.67105,-79.38481,3,105,1,18,259,0.16,13,222,2
"13",50110,"Yorkville one bedroom Condo",195095,"Urbano","Church-Yonge Corridor",43.66899,-79.38548,1,121,1,55,115,0.49,13,292,2
"14",51616,"Large room in trendy King Street West.",237587,"John","Niagara",43.64296,-79.40451,3,54,91,24,461,0.56,1,179,1
"15",62545,"Furnished Heritage Rooms Downtown 1",304551,"Kintoo","Niagara",43.6458,-79.40769,3,65,30,23,57,0.21,6,288,2
"16",64641,"Furnished Heritage Rooms Downtown",304551,"Kintoo","Niagara",43.6444,-79.40829,3,65,30,16,195,0.14,6,305,2
"17",64645,"Furnished Heritage Suite Downtown",304551,"Kintoo","Niagara",43.64585,-79.40853,3,87,30,11,533,0.1,6,318,2
"18",65238,"Zen South Facing Bedroom in Quiet Art-Filled Home",318911,"Magali","Palmerston-Little Italy",43.65853,-79.42709,3,56,2,67,14,0.63,2,299,2
"19",69464,"Yonge & Bloor one bedroom Condo",195095,"Urbano","Rosedale-Moore Park",43.67094,-79.38581,1,121,1,47,43,0.43,13,314,2
"20",75051,"GreatSpace,Backyard, 5min to Subway",368707,"Sandra","Dufferin Grove",43.65956,-79.43228,1,148,6,273,20,2.52,2,52,3
"21",82694,"Luxury Hotel Downtown Living !!",431260,"Caterina","Niagara",43.64171,-79.40469,1,107,30,29,1240,0.27,1,362,1
"22",84076,"A short walk to TIFF",544254,"Darryl","Niagara",43.64457,-79.40451,1,144,3,6,544,0.08,1,0,1
"23",84151,"North City View Yonge/Bloor",195095,"Urbano","Church-Yonge Corridor",43.67033,-79.38612,1,144,1,24,958,0.23,13,350,1
